pair,lambda,beta,seed,block,domain,images,selected,coverage,student_audit_pre_ce,student_audit_post_ce,teacher_audit_pre_ce,teacher_audit_post_ce,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b00015,0.7,0.0015,202,1,gaussian_noise,6000,1800,0.3,5.527081489562988,4.10591983795166,5.527081489562988,3.6219778060913086,3.439584998074797,2.632825658867847,3.785339000592061,3.6176470504744174,2.6701822159459936,4.023703408129454,4.421745595355164,3.5319804563648445,4.8030735120653,3.1490215939087216,1.889156192892349,3.688963908630025,3.3278842357768776,1.9458268545705737,3.920194542008151,4.2090653826691,3.1323997768533762,4.670493499447267
l07_b00015,0.7,0.0015,202,2,shot_noise,6000,1435,0.23916666666666667,3.9727954864501953,4.7504048347473145,3.279017210006714,2.7073607444763184,3.2418077913984136,1.9391467729229528,3.651297071028705,3.5829476919625467,2.009042779263767,4.077702029251211,4.01927057453802,2.6303170195391146,4.455885766525627,3.054864045562887,1.1833762889553099,3.6431630446279213,3.392142365018553,1.27411281018422,4.057941359802182,3.8627786097225854,2.0603827943539024,4.429358674356555
l07_b00015,0.7,0.0015,202,3,impulse_noise,6000,2332,0.38866666666666666,4.885703086853027,2.549943208694458,1.6662392616271973,1.5190763473510742,2.9614263570924693,1.8342085635877186,3.6780762737917847,3.214094664431148,1.8845881658896713,4.059353430679437,3.26842350453664,2.0310360001494128,4.055115887369523,2.6857962472615347,1.2727558378197241,3.584163268749621,2.952087732560097,1.3364198840634884,3.9792789601211918,3.018959593052566,1.5273708598913438,3.9672651889445962
l07_b00015,0.7,0.0015,202,4,defocus_blur,6000,2837,0.4728333333333333,2.6887407302856445,1.9712164402008057,1.1088758707046509,1.085969090461731,2.0881049802125653,1.0039321326679087,3.0605357005679856,2.4551794326187575,1.0719182460198662,3.6958724412754296,2.4531384000089864,1.157609254703078,3.6151416201268702,1.8806391337185369,0.5955688778527791,3.033261427708784,2.257333932101717,0.6750408993102783,3.6765452296133527,2.264155219084945,0.7840063068308092,3.591750054388448
l07_b00015,0.7,0.0015,202,5,glass_blur,6000,1581,0.2635,3.675748109817505,3.1282613277435303,2.01735258102417,1.950695276260376,2.9669664485479044,1.542126487151266,3.4767360749267393,3.479333446302148,1.6319171434462587,4.140289584526898,3.489560038009856,1.9630988653358805,4.035687015606042,2.7533423190716246,0.8439650794088163,3.436466423146506,3.2775866229264334,0.9557449637307004,4.10827946365702,3.3109517215583693,1.3891964081287125,3.9985043693366635
l07_b00015,0.7,0.0015,202,6,motion_blur,6000,2746,0.45766666666666667,2.4695749282836914,1.9259331226348877,1.1862651109695435,1.1855987310409546,2.090689068533576,0.8542445902445251,3.1341053369360754,2.479635182355626,0.92644216256101,3.790350619465649,2.486323303042386,1.1070268937968426,3.650290094618374,1.918963847502727,0.5037894454141637,3.113207519332842,2.315759191455996,0.5860480194897374,3.7754355523101286,2.330705937482388,0.7851703426120983,3.634959392772436
l07_b00015,0.7,0.0015,202,7,zoom_blur,6000,2912,0.48533333333333334,1.8975797891616821,1.861618995666504,1.0998820066452026,1.1039026975631714,1.7126085985091541,0.6109591200663895,2.7514697647090673,2.1746004651446817,0.6920857086128148,3.5726195619778416,2.210451267799955,0.8366364753622941,3.50596573528003,1.5661405135127073,0.3312942744959306,2.73060691507257,2.031660169512273,0.421194659053273,3.5503374902559948,2.074813390619833,0.5866910537035709,3.478120464810299
l07_b00015,0.7,0.0015,202,8,snow,6000,2105,0.35083333333333333,2.73543643951416,3.1237871646881104,1.5102332830429077,1.4959449768066406,2.12242915537688,0.7138395697873927,2.883682320374538,2.7984056394566985,0.829836832514327,3.8622919908337683,2.635653084184338,1.0101386837019755,3.5141403275772474,1.9957724394493521,0.3736450063698228,2.8724292421791096,2.6784132355474,0.5014493052135159,3.854923909065456,2.5229294000445965,0.7041157455845853,3.505882607397182
l07_b00015,0.7,0.0015,202,9,frost,6000,2055,0.3425,3.6030445098876953,3.0124590396881104,1.6495213508605957,1.6469926834106445,2.1625021755930627,0.7076620072750739,2.9203466739184036,2.821276740959053,0.8324104503222105,3.857302147108285,2.7043129458597512,1.0463050310714175,3.567990072574589,2.0236174738538426,0.36101249703506455,2.8896892678621033,2.693396558073344,0.4983603234754529,3.8368184749551335,2.5739592366065818,0.7432961834881832,3.5275745912728165
l07_b00015,0.7,0.0015,202,10,fog,6000,1861,0.31016666666666665,3.0083935260772705,2.569376230239868,1.6812217235565186,1.6217832565307617,2.4359740958569396,0.8245518726325403,3.160510640292941,3.0921001094952105,0.9543612407811105,4.053282045875238,2.8368010597949374,1.1058615987365923,3.6150756036532536,2.263362620088472,0.3714472589565718,3.1140160356638455,2.9317249010585487,0.5193476803226945,4.016391247468171,2.680164920397536,0.7267734233082551,3.5584595751651507
