pair,lambda,beta,seed,block,domain,batch,images,selected,unselected,coverage,updated,confidence_mean,original_selected_proxy_pre,original_selected_proxy_post,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b0001,0.7,0.001,202,1,gaussian_noise,0,64,24,40,0.375,True,0.7447217702865601,1.9374676942825317,0.7075977325439453,2.957342479587193,1.937467885209572,3.569267236213766,3.4431843443131447,2.0684791129008873,4.268007483160498,4.623171563935127,2.8179923839305356,5.706279071937881,2.514912149735865,0.707597828933603,3.5993007422172227,2.6858482468504525,0.8704390014981854,3.775093794061813,5.5439029180103905,4.848588895516104,5.961091331506962
l07_b0001,0.7,0.001,202,1,gaussian_noise,1,64,22,42,0.34375,True,0.7278311252593994,2.4282267093658447,2.0756912231445312,4.147599427716922,2.428227222545375,5.0482229637591605,4.247738664944087,2.533898400371409,5.1454645178154905,6.545332260680733,4.487775886367462,7.623099885321018,4.089108148900965,2.075691059437561,5.143755195762749,4.11086484344405,2.1410041108566893,5.142696655751715,5.505249829342761,3.7998049403482175,6.3985781045303805
l07_b0001,0.7,0.001,202,1,gaussian_noise,2,64,24,40,0.375,True,0.7551800012588501,4.751044750213623,4.184444904327393,5.430312406305918,4.751044853530597,5.83787293797111,5.646049685269492,4.757111151491428,6.179412805536331,6.852654195221136,6.5187732306642046,7.052982773955295,4.520029293918379,4.184445144728678,4.7213797834322,4.673642331941309,4.220370513904459,4.945605422763419,5.239188134807955,5.465601658102976,5.103340020830943
l07_b0001,0.7,0.001,202,1,gaussian_noise,3,64,22,42,0.34375,True,0.6999454498291016,3.938443183898926,1.879188060760498,4.014860854612956,3.9384429908560943,4.054889259437979,4.2957212808690315,3.916734846554786,4.494237984557446,4.872009959782766,3.816767412825421,5.424756055808042,2.959912359281153,1.8791881487758686,3.5260059933553487,3.0685915143371663,1.8821289139183606,3.6900719240803492,3.9922782587123233,2.7273817925598496,4.654843074315998
l07_b0001,0.7,0.001,202,1,gaussian_noise,4,64,22,42,0.34375,True,0.745491623878479,3.0356619358062744,2.5272915363311768,3.5472162429872656,3.0356616315931997,3.815173420384157,3.584997591849533,3.0681564710837823,3.8557238932030216,4.538813084153295,3.876203211099814,4.885894446228927,3.255005461368338,2.527291579377302,3.6361889233636413,3.3390677049104025,2.5691797664541225,3.7423423393398827,4.445098020573706,3.652800851622145,4.860110823357855
l07_b0001,0.7,0.001,202,1,gaussian_noise,5,64,17,47,0.265625,True,0.7149361371994019,2.9778645038604736,2.3876636028289795,3.408721893875682,2.977864270470906,3.5645640129795364,3.5322187036286605,2.975603916136782,3.733547456551255,4.1260152634303635,3.6149886682080448,4.310854670212904,3.1811678055129065,2.38766360227027,3.4681799641325832,3.30629327154148,2.3965750421061167,3.635340290698952,4.045865601863717,3.245400815643454,4.3353954181561525
l07_b0001,0.7,0.001,202,1,gaussian_noise,6,64,20,44,0.3125,True,0.73831707239151,2.8394103050231934,2.569758892059326,3.3965168156725953,2.83940990718069,3.649747228623461,3.531527958363812,2.8785644879560115,3.8283295358219034,4.222912277619553,4.240809546243273,4.214777155517863,3.321640824678318,2.5697588282695545,3.663405368500484,3.4222379816285784,2.581938885554627,3.8041921162076475,3.8801708821095167,3.5073929260543117,4.0496154075891555
l07_b0001,0.7,0.001,202,1,gaussian_noise,7,64,21,43,0.328125,True,0.7050918936729431,2.441422462463379,1.5658516883850098,3.3717969242610915,2.441422310014834,3.826165921916241,3.432610683865291,2.4830239246029464,3.896362356993412,4.000304876088578,3.9689159273791725,4.015634362667591,2.9764134876656057,1.565851736691553,3.6652924823273523,3.065599941156812,1.644464688817064,3.7596427388111078,3.8168671177460523,3.5660751434151203,3.939346919163484
l07_b0001,0.7,0.001,202,1,gaussian_noise,8,64,18,46,0.28125,True,0.7327709197998047,2.8766567707061768,2.0820207595825195,3.6507687432233675,2.876656940977389,3.9536820571457065,3.7596293909292022,2.8899401329450995,4.099942578836025,4.205181153759683,3.5231967333958694,4.472044622597696,3.445496400646925,2.0820208294989317,3.979030319791793,3.5962530305956673,2.1150857281889808,4.175840235885239,4.384675040728007,3.420876900732681,4.761813443334874
l07_b0001,0.7,0.001,202,1,gaussian_noise,9,64,17,47,0.265625,True,0.6872596740722656,3.2210750579833984,2.0763533115386963,3.805277371271241,3.2210751783627485,4.016584547429633,3.8834103869355787,3.246674705828859,4.113719037548647,4.416332189824626,3.3650404320787537,4.796586655392281,3.493542522282784,2.0763534832262285,4.0061428130053685,3.6404096760277955,2.1257197611852248,4.188276240970852,4.791790768769548,3.619466024610785,5.21582312303974
